id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
29.0,no,young,529796.0,40.3,114.0,36.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,significant,none,7.0,absent,distend_small,47.0,7.5,serosanguious,4.5,yes,2113.0,0.0,0.0,no
30.0,no,adult,529642.0,37.6,48.0,28.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,normal,firm,49.0,7.0,clear,3.6,no,0.0,0.0,0.0,yes
31.0,no,adult,529796.0,38.5,60.0,40.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,5.5,absent,normal,45.0,8.6,serosanguious,4.1,yes,0.0,0.0,0.0,yes
32.0,yes,adult,527916.0,38.0,129.0,96.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,,more_1_liter,5.0,absent,distend_small,73.0,8.4,serosanguious,4.1,yes,2206.0,0.0,0.0,yes
33.0,yes,adult,530360.0,38.0,64.0,24.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,none,3.5,absent,distend_large,47.0,7.5,cloudy,2.6,yes,3209.0,0.0,0.0,yes
34.0,yes,adult,528298.0,37.2,96.0,24.0,cold,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,,4.5,,distend_small,31.5,6.1,serosanguious,5.3,yes,3209.0,0.0,0.0,yes
35.0,yes,adult,533871.0,38.5,80.0,16.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,less_1_liter,2.0,absent,distend_large,54.0,67.0,clear,2.0,yes,3205.0,0.0,0.0,no
36.0,yes,adult,529388.0,37.2,68.0,12.0,normal,normal,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,7.0,absent,distend_large,49.0,7.0,cloudy,2.6,yes,2124.0,0.0,0.0,no
37.0,yes,adult,527563.0,37.6,92.0,20.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,none,3.0,absent,distend_small,48.0,6.0,serosanguious,3.4,yes,2209.0,0.0,0.0,yes
38.0,yes,adult,528548.0,38.2,68.0,24.0,normal,,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,3.0,normal,distend_large,45.0,7.0,cloudy,3.6,yes,3113.0,0.0,0.0,yes
39.0,yes,adult,534163.0,38.1,140.0,68.0,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,none,slight,none,2.0,absent,distend_large,39.0,64.0,,2.0,yes,3205.0,0.0,0.0,no
40.0,yes,adult,529827.0,37.1,84.0,30.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,more_1_liter,5.0,absent,distend_small,30.0,6.0,serosanguious,2.9,yes,2205.0,0.0,0.0,yes
41.0,yes,adult,527563.0,37.8,52.0,24.0,normal,reduced,pale_pink,less_3_sec,severe_pain,absent,none,slight,more_1_liter,5.7,normal,,48.0,7.2,clear,3.7,yes,2112.0,0.0,0.0,no
42.0,yes,adult,529399.0,37.6,84.0,30.0,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,none,more_1_liter,1.0,absent,distend_small,55.0,8.1,serosanguious,3.9,yes,2208.0,0.0,0.0,no
43.0,yes,adult,535196.0,38.0,130.0,16.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,none,2.0,,distend_large,52.0,65.0,serosanguious,2.0,no,3205.0,1400.0,0.0,no
44.0,yes,adult,527563.0,39.1,120.0,18.0,normal,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,none,5.3,decreased,other,64.0,8.0,cloudy,3.9,yes,2208.0,0.0,0.0,no
45.0,no,adult,534787.0,38.0,56.0,14.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,none,less_1_liter,2.0,normal,normal,57.0,65.0,cloudy,2.0,no,0.0,0.0,0.0,yes
46.0,yes,adult,533871.0,37.2,72.0,30.0,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,more_1_liter,2.0,,distend_large,60.0,70.0,serosanguious,2.0,yes,3205.0,0.0,0.0,no
47.0,yes,adult,528548.0,38.1,66.0,12.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,3.5,increased,distend_large,44.0,7.5,cloudy,3.6,yes,2124.0,0.0,0.0,yes
48.0,yes,adult,535176.0,38.4,80.0,35.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,3.5,absent,distend_small,50.0,85.0,cloudy,1.3,yes,3205.0,0.0,0.0,no
49.0,yes,adult,528742.0,37.7,48.0,16.0,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,4.5,decreased,firm,35.0,7.5,serosanguious,4.5,yes,3205.0,0.0,0.0,no
50.0,yes,adult,529045.0,37.7,60.0,12.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,6.0,increased,normal,45.0,7.5,serosanguious,1.4,yes,4206.0,0.0,0.0,no
51.0,no,adult,527518.0,37.6,108.0,96.0,cold,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,more_1_liter,4.5,,distend_small,52.0,6.1,cloudy,3.7,no,3205.0,0.0,0.0,no
52.0,yes,adult,5290482.0,36.1,88.0,40.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,slight,none,more_1_liter,5.0,absent,distend_large,44.0,7.5,serosanguious,5.3,yes,4205.0,0.0,0.0,yes
53.0,yes,adult,534787.0,38.0,36.0,16.0,cool,normal,pale_pink,less_3_sec,severe_pain,absent,severe,significant,more_1_liter,2.0,decreased,,37.0,75.0,cloudy,1.0,no,3111.0,0.0,0.0,no
54.0,yes,adult,527463.0,37.6,96.0,18.0,cool,reduced,bright_red,more_3_sec,mild_pain,absent,slight,slight,more_1_liter,5.0,,distend_small,69.0,8.1,serosanguious,2.0,yes,2208.0,0.0,0.0,no
55.0,no,adult,529172.0,38.2,56.0,40.0,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,,7.5,,,47.0,7.2,clear,2.5,no,8300.0,0.0,0.0,yes
56.0,yes,adult,528996.0,38.6,52.0,20.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,5.7,normal,firm,48.0,7.2,clear,5.0,no,0.0,0.0,0.0,yes
57.0,yes,adult,528548.0,38.1,52.0,96.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,none,4.4,increased,distend_large,43.0,6.1,cloudy,3.6,yes,2124.0,0.0,0.0,yes
58.0,yes,adult,533887.0,38.2,88.0,24.0,cool,reduced,bright_pink,less_3_sec,depressed,absent,moderate,none,none,2.0,absent,distend_large,66.0,64.0,serosanguious,2.0,yes,4205.0,3111.0,2209.0,no
59.0,no,adult,528904.0,37.7,96.0,30.0,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,significant,less_1_liter,4.0,absent,distend_large,66.0,75.0,serosanguious,2.0,yes,4205.0,0.0,0.0,no
60.0,yes,adult,535407.0,37.2,80.0,36.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,2.0,absent,,50.0,60.0,serosanguious,2.0,yes,1400.0,0.0,0.0,no
61.0,yes,adult,527563.0,38.1,52.0,24.0,normal,normal,pale_pink,less_3_sec,severe_pain,hypomotile,none,slight,more_1_liter,7.0,normal,,54.0,7.5,cloudy,2.6,yes,5400.0,0.0,0.0,no
62.0,yes,adult,533902.0,38.1,80.0,51.0,cool,reduced,pale_pink,less_3_sec,depressed,absent,none,slight,more_1_liter,2.0,absent,normal,54.0,82.0,serosanguious,2.0,yes,7209.0,0.0,0.0,no
63.0,yes,adult,523190.0,38.0,84.0,24.0,warm,reduced,pale_pink,more_3_sec,mild_pain,absent,moderate,slight,less_1_liter,4.5,normal,distend_large,36.0,6.6,clear,3.9,yes,3115.0,0.0,0.0,no
64.0,yes,young,534073.0,37.5,66.0,13.0,,,,,,,,slight,more_1_liter,5.0,decreased,,40.0,4.5,,0.1,yes,11124.0,0.0,0.0,no
65.0,no,adult,534135.0,37.2,48.0,24.0,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,none,more_1_liter,1.0,normal,,42.0,75.0,clear,1.0,no,0.0,0.0,0.0,no
66.0,yes,young,5290409.0,39.2,164.0,24.0,cold,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,slight,none,more_1_liter,5.0,absent,,72.0,6.2,,3.2,yes,4207.0,0.0,0.0,no
67.0,no,adult,529160.0,38.4,48.0,28.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,slight,7.0,decreased,other,49.0,8.1,cloudy,1.5,no,3111.0,0.0,0.0,yes
68.0,yes,adult,534917.0,37.8,52.0,16.0,normal,reduced,normal_pink,less_3_sec,depressed,absent,none,slight,more_1_liter,2.0,,distend_small,46.0,81.0,clear,2.0,yes,2205.0,0.0,0.0,no
69.0,yes,adult,534784.0,38.6,120.0,16.0,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,none,less_1_liter,2.0,,distend_large,57.0,62.0,serosanguious,2.0,yes,2209.0,0.0,0.0,no
70.0,no,adult,5299253.0,38.1,108.0,48.0,cold,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,none,none,2.0,decreased,distend_large,52.0,6.0,serosanguious,2.0,yes,4205.0,0.0,0.0,no
71.0,yes,adult,534004.0,38.0,52.0,24.0,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,severe,slight,more_1_liter,2.0,decreased,distend_small,57.0,82.0,serosanguious,2.0,yes,2209.0,0.0,0.0,yes
72.0,yes,adult,534115.0,37.2,88.0,20.0,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,2.0,absent,distend_large,65.0,82.0,,2.0,no,3205.0,0.0,0.0,no
73.0,yes,adult,529667.0,37.8,30.0,12.0,normal,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,6.5,absent,distend_large,46.0,6.5,serosanguious,4.4,yes,3205.0,0.0,0.0,yes
74.0,yes,adult,5297159.0,39.2,100.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,none,3.0,,,60.0,7.5,serosanguious,3.0,yes,2124.0,0.0,0.0,yes
75.0,yes,adult,529388.0,38.2,66.0,16.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,none,3.0,absent,distend_large,36.0,6.6,serosanguious,3.4,yes,31110.0,0.0,0.0,yes
76.0,no,adult,529427.0,37.5,88.0,24.0,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,,less_1_liter,4.0,normal,,69.0,8.2,cloudy,5.0,no,3111.0,3112.0,0.0,yes
77.0,yes,young,5279822.0,37.2,64.0,28.0,warm,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,5.5,normal,,54.0,7.7,cloudy,3.3,yes,2208.0,0.0,0.0,yes
78.0,yes,adult,527463.0,38.0,104.0,40.0,cold,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.4,absent,distend_small,53.0,7.3,cloudy,2.3,yes,2209.0,0.0,0.0,no
79.0,yes,adult,527677.0,38.4,52.0,12.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,normal,distend_small,54.0,6.1,serosanguious,3.6,yes,2208.0,0.0,0.0,no
80.0,yes,adult,530612.0,38.5,76.0,28.0,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,5.5,normal,distend_small,40.0,6.5,cloudy,3.2,yes,2208.0,0.0,0.0,yes
81.0,no,adult,535415.0,38.0,146.0,36.0,cool,reduced,bright_red,less_3_sec,depressed,absent,moderate,none,more_1_liter,2.0,absent,distend_small,57.0,66.0,serosanguious,2.0,yes,3205.0,0.0,0.0,yes
82.0,yes,young,530561.0,38.2,120.0,48.0,cool,reduced,bright_red,less_3_sec,depressed,,slight,slight,none,4.5,,,37.0,6.1,cloudy,2.6,yes,1400.0,0.0,0.0,yes
83.0,no,adult,528682.0,38.4,52.0,21.0,,,pale_pink,less_3_sec,,,,none,more_1_liter,5.5,normal,,43.0,6.8,clear,3.6,no,0.0,0.0,0.0,no
84.0,yes,adult,530242.0,37.2,108.0,12.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,6.0,decreased,firm,52.0,8.2,serosanguious,7.4,yes,2207.0,0.0,0.0,yes
85.0,yes,young,529172.0,38.1,124.0,24.0,cool,reduced,bright_red,more_3_sec,depressed,absent,slight,slight,none,7.0,decreased,,47.0,7.5,clear,2.6,yes,9400.0,0.0,0.0,yes
86.0,yes,adult,530002.0,39.4,100.0,51.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,significant,less_1_liter,2.0,absent,distend_small,57.0,8.5,serosanguious,3.9,yes,4205.0,0.0,0.0,no
87.0,yes,adult,534784.0,39.4,48.0,40.0,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,none,less_1_liter,2.0,,distend_small,49.0,74.0,serosanguious,2.0,yes,2206.0,0.0,0.0,no
88.0,no,adult,5289419.0,38.4,52.0,20.0,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,4.0,absent,distend_small,48.0,7.7,serosanguious,4.3,no,2124.0,0.0,0.0,yes
89.0,no,adult,528548.0,38.3,104.0,40.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,none,3.0,absent,distend_large,54.0,7.4,serosanguious,3.6,no,3113.0,0.0,0.0,yes
90.0,yes,adult,529498.0,38.5,88.0,24.0,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,4.5,decreased,distend_small,54.0,7.5,cloudy,2.6,yes,2205.0,0.0,0.0,no
91.0,no,adult,529126.0,38.7,54.0,36.0,normal,,bright_pink,less_3_sec,depressed,hypermotile,none,slight,less_1_liter,7.0,normal,distend_small,39.0,6.0,cloudy,2.6,no,300.0,0.0,0.0,yes
92.0,no,adult,529667.0,38.3,64.0,30.0,normal,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,7.5,decreased,distend_large,47.0,7.2,,0.1,no,0.0,0.0,0.0,no
93.0,no,adult,5291409.0,38.6,50.0,24.0,warm,normal,normal_pink,less_3_sec,alert,normal,slight,significant,,7.0,normal,,46.0,5.9,clear,1.0,no,0.0,0.0,0.0,no
94.0,yes,adult,5287179.0,37.5,114.0,36.0,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,7.0,decreased,distend_small,48.0,7.2,serosanguious,4.7,yes,2208.0,0.0,0.0,no
95.0,no,adult,530526.0,38.5,56.0,24.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,,more_1_liter,5.0,absent,distend_large,33.0,3.9,cloudy,3.9,yes,3111.0,0.0,0.0,yes
96.0,yes,adult,530526.0,39.3,96.0,28.0,cold,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,,more_1_liter,2.0,absent,distend_small,65.0,13.0,serosanguious,3.9,yes,2208.0,0.0,0.0,yes
97.0,yes,adult,5290759.0,37.7,76.0,20.0,cool,reduced,pale_cyanotic,3,extreme_pain,hypomotile,moderate,significant,none,3.0,absent,distend_large,53.0,6.5,serosanguious,3.9,yes,3205.0,0.0,0.0,no
98.0,yes,adult,532110.0,39.2,104.0,51.0,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,slight,more_1_liter,5.0,absent,distend_small,47.0,7.5,serosanguious,2.6,yes,2111.0,0.0,0.0,no
99.0,yes,adult,528996.0,38.1,54.0,18.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,none,,3.0,decreased,other,39.0,7.0,clear,3.0,yes,3111.0,0.0,0.0,no
100.0,yes,adult,534293.0,39.4,104.0,30.0,cool,reduced,dark_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,5.5,absent,distend_large,65.0,75.0,serosanguious,2.6,yes,2207.0,0.0,0.0,no
101.0,no,adult,534280.0,38.3,52.0,20.0,,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,,,more_1_liter,2.0,,distend_small,53.0,86.0,clear,2.0,no,2209.0,0.0,0.0,yes
102.0,yes,adult,528214.0,40.3,114.0,36.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,none,4.4,absent,distend_small,68.0,7.7,serosanguious,4.8,yes,2209.0,0.0,0.0,no
103.0,no,adult,527933.0,39.1,72.0,30.0,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,significant,none,2.0,decreased,distend_large,44.0,7.3,cloudy,2.0,yes,3300.0,0.0,0.0,yes
104.0,yes,adult,530612.0,38.6,42.0,20.0,warm,normal,pale_pink,less_3_sec,depressed,absent,moderate,none,more_1_liter,5.4,,,43.0,8.1,serosanguious,4.4,yes,2205.0,0.0,0.0,yes
105.0,no,adult,5283431.0,38.0,54.0,24.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,less_1_liter,7.0,decreased,distend_large,41.0,7.5,clear,6.0,no,3112.0,3112.0,0.0,yes
106.0,yes,adult,534917.0,37.1,84.0,40.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,severe,significant,less_1_liter,2.0,absent,distend_large,75.0,81.0,clear,2.0,yes,2112.0,0.0,0.0,no
107.0,yes,adult,528743.0,37.9,52.0,14.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,none,less_1_liter,3.0,absent,distend_large,37.0,4.0,serosanguious,3.4,yes,2208.0,0.0,0.0,yes
108.0,yes,adult,529766.0,38.9,96.0,24.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,more_1_liter,7.5,decreased,distend_small,69.0,13.0,serosanguious,6.5,yes,2208.0,0.0,0.0,yes
109.0,no,adult,529304.0,38.1,48.0,40.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,6.5,absent,distend_small,54.0,8.1,serosanguious,4.1,yes,3205.0,0.0,0.0,no
110.0,yes,adult,530401.0,38.0,84.0,40.0,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,none,less_1_liter,4.0,decreased,distend_large,75.0,7.2,serosanguious,4.3,yes,3205.0,0.0,0.0,yes
111.0,yes,adult,527702.0,38.0,88.0,24.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,5.7,decreased,distend_small,36.0,6.6,serosanguious,3.7,yes,2205.0,0.0,0.0,no
112.0,yes,adult,529849.0,37.8,48.0,32.0,cool,,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,7.0,absent,distend_small,41.0,7.0,clear,1.0,yes,2124.0,0.0,0.0,no
113.0,yes,adult,534157.0,38.4,40.0,16.0,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,severe,slight,more_1_liter,2.0,absent,distend_large,52.0,77.0,serosanguious,2.0,yes,2209.0,0.0,0.0,no
114.0,no,adult,534998.0,38.3,130.0,48.0,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,moderate,significant,more_1_liter,2.0,absent,distend_large,52.0,75.0,serosanguious,2.0,yes,3205.0,0.0,0.0,no
115.0,no,adult,529340.0,38.3,48.0,28.0,cool,normal,bright_pink,less_3_sec,alert,hypomotile,slight,significant,none,7.2,normal,firm,47.0,5.5,cloudy,4.1,no,0.0,0.0,0.0,yes
116.0,yes,adult,528904.0,38.0,80.0,16.0,cool,reduced,bright_red,less_3_sec,extreme_pain,hypomotile,moderate,significant,none,4.5,absent,distend_large,60.0,7.2,serosanguious,4.1,yes,7111.0,0.0,0.0,yes
117.0,yes,adult,528742.0,38.1,48.0,12.0,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,none,7.5,decreased,distend_small,48.0,8.6,serosanguious,2.0,yes,2208.0,0.0,0.0,yes
118.0,yes,adult,530276.0,38.0,48.0,16.0,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,6.5,decreased,firm,42.0,7.0,clear,2.6,yes,400.0,0.0,0.0,no
